Market,Route,Period,Date,Amount,Currency
Carbon,ICE_EUA,MAR-2024,11/15/2023,87.68,USD
Carbon,ICE_EUA,APR-2024,11/15/2023,87.68,USD
Carbon,ICE_EUA,JUN-2024,11/15/2023,88.74,USD
Carbon,ICE_EUA,AUG-2024,11/15/2023,89.53,USD
Carbon,ICE_EUA,SEP-2024,11/15/2023,89.94,USD
Carbon,ICE_EUA,OCT-2024,11/15/2023,89.94,USD
Carbon,ICE_EUA,DEC-2024,11/15/2023,90.78,USD
Carbon,ICE_EUA,JAN-2025,11/15/2023,90.78,USD
Carbon,ICE_EUA,MAR-2025,11/15/2023,91.87,USD
Carbon,ICE_EUA,APR-2025,11/15/2023,91.87,USD
Carbon,ICE_EUA,JUN-2025,11/15/2023,92.73,USD
Carbon,ICE_EUA,AUG-2025,11/15/2023,93.26,USD
Carbon,ICE_EUA,SEP-2025,11/15/2023,93.45,USD
Carbon,ICE_EUA,OCT-2025,11/15/2023,93.45,USD
Carbon,ICE_EUA,DEC-2025,11/15/2023,94.37,USD
Carbon,ICE_EUA,JAN-2026,11/15/2023,94.37,USD
Carbon,ICE_EUA,MAR-2026,11/15/2023,95.55,USD
Carbon,ICE_EUA,APR-2026,11/15/2023,95.55,USD
Carbon,ICE_EUA,DEC-2026,11/15/2023,98.21,USD
Carbon,ICE_EUA,DEC-2027,11/15/2023,102.29,USD
Carbon,ICE_EUA,DEC-2028,11/15/2023,106.42,USD
Carbon,ICE_EUA,DEC-2029,11/15/2023,110.55,USD
Carbon,ICE_EUA,DEC-2030,11/15/2023,110.55,USD
Carbon,ICE_EUA,SPOT,11/16/2023,83.33,USD
Carbon,ICE_EUA,DEC-2023,11/16/2023,83.55,USD
Carbon,ICE_EUA,JAN-2024,11/16/2023,84.03,USD
Carbon,ICE_EUA,MAR-2024,11/16/2023,84.56,USD
Carbon,ICE_EUA,APR-2024,11/16/2023,84.56,USD
Carbon,ICE_EUA,JUN-2024,11/16/2023,85.60,USD
Carbon,ICE_EUA,AUG-2024,11/16/2023,86.37,USD
Carbon,ICE_EUA,SEP-2024,11/16/2023,86.76,USD
Carbon,ICE_EUA,OCT-2024,11/16/2023,86.76,USD
Carbon,ICE_EUA,DEC-2024,11/16/2023,87.56,USD
Carbon,ICE_EUA,JAN-2025,11/16/2023,87.56,USD
Carbon,ICE_EUA,MAR-2025,11/16/2023,88.65,USD
Carbon,ICE_EUA,APR-2025,11/16/2023,88.65,USD
Carbon,ICE_EUA,JUN-2025,11/16/2023,89.49,USD
Carbon,ICE_EUA,AUG-2025,11/16/2023,90.01,USD
Carbon,ICE_EUA,SEP-2025,11/16/2023,90.20,USD
Carbon,ICE_EUA,OCT-2025,11/16/2023,90.20,USD
Carbon,ICE_EUA,DEC-2025,11/16/2023,91.10,USD
Carbon,ICE_EUA,JAN-2026,11/16/2023,91.10,USD
Carbon,ICE_EUA,MAR-2026,11/16/2023,92.24,USD
Carbon,ICE_EUA,APR-2026,11/16/2023,92.24,USD
Carbon,ICE_EUA,DEC-2026,11/16/2023,94.78,USD
Carbon,ICE_EUA,DEC-2027,11/16/2023,98.85,USD
Carbon,ICE_EUA,DEC-2028,11/16/2023,102.97,USD
Carbon,ICE_EUA,DEC-2029,11/16/2023,107.09,USD
Carbon,ICE_EUA,DEC-2030,11/16/2023,107.09,USD
Carbon,ICE_EUA,SPOT,11/17/2023,83.02,USD
Carbon,ICE_EUA,DEC-2023,11/17/2023,83.23,USD
Carbon,ICE_EUA,JAN-2024,11/17/2023,83.70,USD
Carbon,ICE_EUA,MAR-2024,11/17/2023,84.23,USD
Carbon,ICE_EUA,APR-2024,11/17/2023,84.23,USD
Carbon,ICE_EUA,JUN-2024,11/17/2023,85.24,USD
Carbon,ICE_EUA,AUG-2024,11/17/2023,85.99,USD
Carbon,ICE_EUA,SEP-2024,11/17/2023,86.40,USD
Carbon,ICE_EUA,OCT-2024,11/17/2023,86.40,USD
Carbon,ICE_EUA,DEC-2024,11/17/2023,87.22,USD
Carbon,ICE_EUA,JAN-2025,11/17/2023,87.22,USD
Carbon,ICE_EUA,MAR-2025,11/17/2023,88.30,USD
Carbon,ICE_EUA,APR-2025,11/17/2023,88.30,USD
Carbon,ICE_EUA,JUN-2025,11/17/2023,89.12,USD
Carbon,ICE_EUA,AUG-2025,11/17/2023,89.63,USD
Carbon,ICE_EUA,SEP-2025,11/17/2023,89.80,USD
Carbon,ICE_EUA,OCT-2025,11/17/2023,89.80,USD
